song_id,song_title,duration,popularity,stream,explicit_content,artist_id,album_id,genre_id,label_id,composer_id,producer_id,language_id
81,Sell far,242.0,76,86801946,Yes,81,81,3,5,80,81,1
82,Every light how human,158.0,100,42662587,Yes,82,82,2,3,81,82,1
83,Past determine college,280.0,45,73461128,Yes,83,83,1,2,82,83,1
85,Establish own,94.0,74,75107936,Yes,85,85,3,2,84,85,1
87,But these,220.0,99,81838333,No,87,87,2,3,86,87,5
88,Protect pull,299.0,11,40355702,No,88,88,2,5,87,88,1
89,Theory travel,179.0,66,69638071,No,89,89,8,4,88,89,1
90,Why they,247.0,65,70582557,No,90,90,3,3,89,90,1
91,Chance draw,176.0,50,55253032,Yes,91,91,6,4,90,91,1
92,Identify quite control,285.0,85,92286744,Yes,92,92,2,6,91,92,1
93,Single year,186.0,98,40138044,No,93,93,3,4,92,93,1
95,Provide begin me,259.0,12,16347723,Yes,95,95,2,4,94,95,1
96,Determine step,261.0,76,60418523,Yes,96,96,8,6,95,96,1
97,Modern need,235.0,47,77132457,No,97,97,3,4,96,97,2
98,Skin manage sound,259.0,51,43030083,No,98,98,3,3,97,98,1
99,Clear practice,149.0,23,57256173,No,99,99,1,1,98,99,6
100,Dinner various finally,250.0,90,4516034,Yes,100,100,4,6,99,100,2
101,All benefit husband,247.0,21,97891200,Yes,101,101,3,3,100,101,6
102,Order break family,136.0,45,97149186,No,102,102,1,3,101,102,3
104,Of involve,240.0,98,25174977,Yes,104,104,7,4,103,104,1
105,Learn public account,238.0,67,98604815,Yes,105,105,3,3,104,105,4
106,Direction standard response,274.0,59,53712374,No,106,106,3,2,105,106,4
107,Professional relate throw,193.0,41,83593751,Yes,107,107,1,4,106,107,1
109,Hospital skin,217.0,88,43543378,Yes,109,109,2,4,108,109,1
110,Statement carry since,129.0,63,1894746,No,110,110,3,4,109,110,1
111,Grow relationship generation,231.0,13,10686803,No,111,111,1,4,110,111,5
112,Mission group deal,289.0,69,89752744,No,112,112,7,4,111,112,1
113,Close institution candidate,205.0,8,15166107,Yes,113,113,1,5,112,113,1
114,Nor,258.0,32,4875181,Yes,114,114,3,5,113,114,1
116,Pass research many much,359.0,35,33603124,Yes,116,116,1,3,115,116,1
117,Report name,268.0,98,12518523,Yes,117,117,3,4,116,117,1
118,Attorney they,275.0,54,35548482,No,118,118,3,6,117,118,6
119,Thank,295.0,64,22869748,No,119,119,7,3,118,119,4
120,Money use,230.0,66,46593516,No,120,120,3,3,119,120,1
122,Adult,257.0,46,61229551,Yes,122,122,3,3,121,122,1
123,Modern in he,267.0,10,18547036,Yes,123,123,4,5,122,123,1
124,Throughout use meet,258.0,6,95623479,No,124,124,6,4,123,124,1
126,She him score,201.0,60,41459452,No,126,126,1,6,125,126,1
127,Make step such,186.0,60,18504915,No,127,127,1,5,126,127,7
128,Too military,266.0,20,75923930,No,128,128,2,3,127,128,1
129,Smile quite,240.0,24,46308044,Yes,129,129,3,2,128,129,1
130,Down ability,246.0,46,53356430,Yes,130,130,2,4,129,130,1
131,Trouble teacher base,268.0,38,47487833,Yes,131,131,1,4,130,131,7
132,Financial important land,244.0,20,93253297,Yes,132,132,8,5,131,132,1
133,Manager story,267.0,2,95061885,Yes,133,133,2,1,132,133,1
135,Sea activity chair,190.0,82,3980519,Yes,135,135,1,4,134,135,4
136,Over year,274.0,20,5441841,No,136,136,2,5,135,136,1
137,Begin rest share,224.0,35,11762265,Yes,137,137,2,4,136,137,1
138,Whole probably hour,243.0,100,79997877,No,138,138,2,1,137,138,1
139,One deep product,301.0,13,34632683,Yes,139,139,2,6,138,139,1
140,Learn situation west,302.0,96,42141496,Yes,140,140,7,6,139,140,1
141,Lose candidate trip,244.0,35,20958439,No,141,141,3,1,140,141,1
142,By follow,287.0,2,58414450,Yes,142,142,8,6,141,142,1
143,Mrs husband,292.0,58,74897479,No,143,143,5,2,142,143,1
145,At agreement,236.0,52,40370938,Yes,145,145,3,3,144,145,5
146,Pass fly authority,254.0,60,67104079,Yes,146,146,1,5,145,146,1
147,Important require detail,227.0,53,50848475,No,147,147,2,2,146,147,1
148,Hot into,233.0,88,40824471,Yes,148,148,1,2,147,148,7
150,Difficult there conference change,208.0,43,28103855,Yes,150,150,3,1,149,150,4
151,Get another,352.0,83,89910046,No,151,151,2,3,150,151,3
152,Remain detail result,177.0,91,7943592,No,152,152,3,6,151,152,1
153,Prevent during officer purpose,283.0,99,97797749,No,153,153,2,1,152,153,1
154,Life reveal expert,290.0,16,33906265,Yes,154,154,2,6,153,6,1
155,Meeting focus until,239.0,37,12208592,Yes,155,155,5,1,154,154,4
156,Budget wear,202.0,67,7768964,No,156,156,8,4,155,155,3
157,Choose my nothing check,294.0,86,23453600,No,157,157,3,3,156,156,1
158,Here coach,247.0,87,29312798,No,158,158,7,5,157,157,2
159,Across figure,274.0,14,5598512,No,159,159,1,6,158,158,1
160,Loss through player,183.0,80,21478058,No,160,160,2,3,159,159,7
161,Say pull work,269.0,98,26818137,Yes,161,161,1,3,160,160,1
162,Hold mother issue,272.0,41,37535644,No,162,162,3,1,161,161,2
165,New general,241.0,70,6804139,Yes,165,165,3,2,164,164,1
166,Ten show understand,318.0,74,30932992,No,166,166,3,1,165,165,1
167,Individual scientist image avoid,141.0,41,93897760,No,167,167,2,3,166,166,1
168,Test adult,198.0,13,41938172,Yes,168,168,1,2,167,167,1
169,Financial raise,263.0,98,36198006,No,169,169,2,3,168,168,1
171,Travel glass,207.0,28,21913155,Yes,171,171,1,3,170,170,3
172,Yard rise prove,182.0,18,50739023,Yes,172,172,3,4,171,171,1
173,Democrat government,259.0,53,6385792,Yes,173,173,3,4,172,172,1
174,Relate decide others,220.0,19,84332166,No,174,174,1,4,173,173,7
175,Professional,277.0,96,3539351,Yes,175,175,7,1,174,174,1
176,Face herself finally,193.0,44,62724385,Yes,176,176,1,1,175,175,1
178,Investment mission card,221.0,28,51087653,No,178,178,1,1,177,177,4
179,Treat red,191.0,75,11740053,Yes,179,179,1,2,178,178,1
180,Black,273.0,17,34162724,No,180,180,7,3,179,179,6
181,Measure analysis according catch,249.0,13,46036599,Yes,181,181,2,5,180,180,1
182,Heavy we media,249.0,100,66625347,Yes,182,182,3,1,181,181,1
183,Federal approach receive,305.0,85,59942811,No,183,183,3,2,182,182,1
184,Off page understand,244.0,30,44573354,Yes,184,184,1,5,183,183,2
185,From start,230.0,37,32612758,No,185,185,3,4,184,184,1
186,Story water,269.0,95,18508051,Yes,186,186,2,3,185,185,1
188,Happy always popular research,234.0,71,66976425,No,188,188,2,4,187,187,1
189,Include story,239.0,100,48187445,No,189,189,3,1,188,188,1
190,Raise kitchen despite,247.0,49,52467390,No,190,190,7,6,189,189,4
191,Rock guess over,259.0,83,51639987,No,191,191,6,3,190,190,6
192,Big here for,257.0,89,60199242,No,192,192,3,4,191,191,1
193,Mother now education,198.0,58,92908324,No,193,193,6,4,192,192,1
194,Someone meeting military,275.0,2,14247942,Yes,194,194,3,3,193,193,6
195,Blood list true,335.0,38,58374327,Yes,195,195,2,2,194,194,6
196,Some media,308.0,97,29792770,No,196,196,1,6,195,195,4
197,Far attorney,212.0,9,4041451,No,197,197,1,4,196,196,5
198,Pay crime,257.0,88,85794088,No,198,198,8,3,197,197,1
199,Share throughout long,212.0,91,68593735,No,199,199,1,4,198,198,3
200,Strategy ready produce,232.0,17,18197789,No,200,200,6,3,199,199,1
201,Away too including,214.0,39,31258037,No,201,201,2,1,200,200,6
203,Discover trade,297.0,14,17282823,No,203,203,3,5,202,202,1
204,Leg cost glass,317.0,8,67606446,Yes,204,204,2,1,203,203,3
205,Base green,179.0,41,32274895,No,205,205,7,2,204,204,2
206,Type believe,265.0,70,33759977,Yes,206,206,8,6,205,205,1
207,Development watch,155.0,21,79457397,No,207,207,1,5,206,206,3
208,Bring,292.0,15,52500920,Yes,208,208,1,5,207,207,1
209,Suggest everybody cup,181.0,63,94580267,Yes,209,209,1,6,208,208,2
210,Send perform customer,276.0,52,95546714,Yes,210,210,1,3,209,209,1
211,Everything population,247.0,85,22175453,Yes,211,211,2,2,210,210,7
212,Prepare fast,327.0,9,87120937,Yes,212,212,4,1,211,211,6
214,Someone keep,267.0,68,72134294,No,214,214,2,1,213,213,7
215,May state computer,280.0,23,30933247,No,215,215,3,3,214,214,1
217,Among so,254.0,73,90013756,Yes,217,217,7,5,216,216,1
218,Senior size large,237.0,57,31036603,Yes,218,218,2,3,217,217,1
219,Attention big,184.0,89,81603825,Yes,219,219,3,6,218,218,1
220,Out,272.0,27,22306807,Yes,220,220,1,5,219,219,4
221,Training reveal when,311.0,64,82993239,Yes,221,221,1,3,220,220,1
223,Should choice,240.0,80,70724259,Yes,223,223,2,4,222,222,1
224,Guy source,300.0,57,36340850,No,224,224,6,5,223,223,1
225,Difference adult raise,268.0,87,66063273,No,225,225,3,3,224,224,3
227,Dinner shake,248.0,49,187905,No,227,227,3,1,226,226,1
230,Treatment firm,322.0,54,66087571,No,230,230,1,4,229,229,1
232,Rather heart fire community,237.0,72,44777085,No,232,232,2,2,231,231,2
233,Eight technology decision for,214.0,81,76862202,Yes,233,233,2,5,232,232,1
234,Choose break environmental,232.0,27,32125152,No,234,234,2,4,233,233,1
235,Fund toward third,213.0,8,53231348,Yes,235,235,2,6,234,234,5
236,Significant apply billion,274.0,12,35300475,No,236,236,2,2,235,235,1
237,Imagine unit,198.0,22,33209348,No,237,237,2,5,236,236,1
238,Evidence effect little,243.0,86,10792382,No,238,238,6,4,237,237,1
239,Prevent,206.0,94,90671534,No,239,239,2,5,238,238,7
240,Cover area sing,178.0,86,46110701,No,240,240,8,1,239,239,1
242,Base visit,250.0,91,39824825,No,242,242,3,3,241,241,1
245,Cell,368.0,58,74322846,No,245,245,3,2,244,244,1
246,Describe theory argue,228.0,84,43088759,Yes,246,246,6,2,245,245,1
247,Situation expert education,259.0,20,25919374,Yes,247,247,2,6,246,246,1
248,Stop there,261.0,29,13671301,Yes,248,248,1,2,247,247,1
249,Analysis arrive,240.0,21,63095797,Yes,249,249,1,5,248,248,1
250,Visit husband far,219.0,75,36583435,Yes,250,250,1,5,249,249,7
251,Boy,271.0,20,38617636,Yes,251,251,5,6,250,250,3
252,Indeed president former read,230.0,16,69323920,No,252,252,2,5,251,251,1
253,These music short,260.0,89,49557084,No,253,253,3,4,252,252,1
254,However high foot detail,259.0,67,17850262,Yes,254,254,2,4,253,253,1
255,Although step market,265.0,94,14508939,No,255,255,2,2,254,254,5
256,Available,282.0,38,98331677,No,256,256,1,6,255,255,1
257,Say itself,239.0,50,3471176,No,257,257,1,3,256,256,1
259,Material large social nature,215.0,74,20350489,No,259,259,1,3,258,258,1
260,Give agree,255.0,75,63921104,No,260,260,8,6,259,259,2
262,We civil perhaps,151.0,78,3750062,No,262,262,1,5,261,261,1
263,Win size us,198.0,48,14981153,No,263,263,3,1,262,262,1
264,Often city pay,262.0,88,13636805,Yes,264,264,3,2,263,263,1
265,Quality public social,215.0,19,83859124,Yes,226,265,1,5,264,264,1
266,Big clearly,196.0,41,90525669,No,265,266,3,2,265,265,1
267,Likely budget,215.0,46,95118980,Yes,266,267,2,4,266,266,3
269,Knowledge business,180.0,74,40013873,No,268,269,1,6,268,268,1
270,Another result watch,263.0,75,16781738,Yes,269,270,4,2,269,269,1
272,Possible stuff,277.0,62,63726254,Yes,271,272,6,1,271,271,1
274,Politics scene value,304.0,71,57570624,Yes,273,274,2,3,273,273,3
275,Staff draw,247.0,95,33344922,No,274,275,5,5,65,274,6
277,Become send,195.0,4,22925287,Yes,276,277,1,3,275,276,1
279,Drive,214.0,71,85511902,No,278,279,2,4,277,278,1
280,Total mean difficult,198.0,51,59465193,No,279,280,5,3,278,279,1
282,Public hospital news,268.0,18,38375268,Yes,281,282,3,6,280,281,1
283,Unit analysis artist,281.0,72,54720944,No,282,283,2,1,281,282,1
284,Since card natural,252.0,32,74435571,No,283,284,4,3,282,283,1
285,Center dinner police,214.0,72,51307754,No,284,285,5,2,283,284,1
286,Recent identify,223.0,97,59633804,Yes,285,286,4,3,284,285,1
287,Expect different individual,195.0,86,96599660,Yes,286,287,3,5,285,286,1
289,Fill fly,243.0,76,25983055,No,288,289,6,5,287,288,1
290,From commercial strong,223.0,47,94495979,Yes,289,290,1,2,288,289,1
292,Dinner cut,266.0,62,4677773,Yes,291,292,2,6,290,291,6
293,Store then game,245.0,2,36089226,Yes,292,293,1,1,291,292,1
294,Exactly activity,274.0,96,35979384,Yes,293,294,1,2,292,293,4
295,Offer,205.0,43,22556692,Yes,294,295,3,3,293,294,3
297,Air people,248.0,71,67374517,Yes,296,297,1,6,295,296,6
298,Firm brother necessary himself,279.0,65,27162901,No,297,298,7,2,296,297,1
299,Nature institution allow,257.0,2,89882667,No,298,299,1,3,297,298,1
300,Late detail song,329.0,33,14127807,No,299,300,3,2,298,299,4
301,Fear concern,242.0,80,24058344,No,300,301,1,1,299,300,1
302,Name young its,172.0,80,36077720,No,301,302,3,2,300,301,1
303,Prove,194.0,43,63490532,No,302,303,1,6,301,302,1
305,Fire,214.0,98,38436228,Yes,304,305,2,2,303,304,1
306,Along character eye,331.0,98,58775825,Yes,305,306,1,1,304,305,1
307,Bad politics,238.0,36,17184582,Yes,306,307,1,2,305,306,1
308,Item particularly table,261.0,61,98142355,Yes,307,308,2,6,306,307,1
309,Specific network floor,243.0,36,20870876,No,308,309,3,5,307,308,3
310,Maintain set parent,175.0,35,32410367,Yes,309,310,3,4,308,309,1
311,Again everyone ground,211.0,45,96934439,Yes,310,311,7,4,309,310,1
312,Minute raise whole,305.0,18,83767910,Yes,311,312,3,6,310,311,1
314,Word become dream,221.0,83,18498894,No,313,314,7,1,312,313,3
315,Wide now,208.0,11,27961053,No,314,315,3,3,313,314,1
316,Model available government,316.0,83,95954779,Yes,315,316,2,5,314,315,1
317,Government have,205.0,58,14757412,No,316,317,7,1,315,316,1
318,Dog hear,257.0,82,52423818,Yes,317,318,1,2,316,317,6
319,Beyond only,254.0,26,20076654,Yes,318,319,3,3,317,318,1
321,Business eye science,259.0,45,83324938,Yes,320,321,8,2,319,320,1
322,Space agree song,225.0,13,6395235,Yes,321,322,3,4,320,321,1
323,Cost central,217.0,76,7937181,No,322,323,2,5,321,322,3
324,Book table,242.0,32,97472028,Yes,323,324,2,4,322,323,1
325,Hope age help,277.0,21,57366276,No,324,325,7,5,323,324,1
326,Suffer where organization,289.0,85,27053486,No,325,326,2,1,324,325,3
328,Safe do today get,292.0,47,25492417,Yes,327,328,2,2,326,327,1
329,Author language allow,356.0,73,68860479,No,328,329,1,6,327,328,1
331,Response feeling,304.0,68,71700013,No,330,331,4,6,329,330,1
332,To treat,196.0,92,94097318,Yes,331,332,1,4,330,331,1
333,Instead authority very,252.0,24,95553127,Yes,332,333,2,6,331,332,1
334,Line well civil,267.0,27,40976262,Yes,333,334,3,2,332,333,1
335,Step determine,277.0,74,53439749,No,334,335,2,6,333,334,1
336,Benefit newspaper eat one,200.0,94,93104404,Yes,335,336,1,2,334,335,1
337,Until with force,217.0,27,92085946,Yes,336,337,2,2,335,336,3
338,Response read activity,230.0,6,94546707,No,337,338,3,1,336,337,1
339,Population main provide,260.0,92,85903823,Yes,338,339,3,4,337,338,7
340,Them young hair,138.0,84,80418084,No,339,340,1,2,338,339,6
341,Skin method drop however,258.0,46,78190048,Yes,340,341,3,5,339,340,1
342,Meeting interview successful,264.0,13,58564183,Yes,341,342,1,6,340,341,3
343,Very become,208.0,25,35307742,No,342,343,3,5,341,342,1
344,Drop before,320.0,91,51465660,Yes,343,344,1,3,342,343,1
345,Color city lead,149.0,7,60764652,Yes,344,345,1,5,343,344,3
346,Authority money check,229.0,29,25671141,Yes,345,346,2,6,344,345,1
347,Effort stop walk,210.0,79,63044150,Yes,346,347,2,5,345,346,7
348,Customer available interesting serious,232.0,33,32605556,No,347,348,3,5,346,347,1
349,Serious if anything,266.0,43,74010844,Yes,348,349,3,5,347,348,1
350,Box energy much,190.0,63,75956725,Yes,349,350,1,3,348,349,3
351,Series professor,319.0,2,13558227,Yes,350,351,1,6,349,350,6
352,Important party,244.0,15,12500853,No,351,352,2,5,350,351,6
353,Black save image,190.0,85,40149052,Yes,352,353,1,5,351,352,3
354,His answer relate,261.0,97,60222915,Yes,353,354,4,5,352,353,1
356,Trouble people religious,313.0,8,86743368,No,355,356,3,5,354,355,1
357,Perhaps hope world thought,215.0,55,67192842,Yes,356,357,1,3,355,356,1
358,Final no yard,155.0,41,75675668,Yes,357,358,1,3,181,357,3
359,Teacher career sound,232.0,15,84532084,No,358,359,2,6,356,358,1
360,Make notice send,240.0,50,50525974,No,359,360,2,4,357,359,1
362,Kid stand,293.0,30,18102237,No,361,362,4,3,359,361,1
364,Offer remember father,287.0,67,19102327,Yes,363,364,4,3,361,363,3
366,Us rather sort picture,141.0,10,28446822,Yes,365,366,8,4,363,365,1
367,Their,283.0,66,52438017,No,366,367,3,6,364,366,1
368,Majority look,245.0,75,73950326,Yes,367,368,2,3,365,367,1
369,Tough they,283.0,78,85570143,Yes,368,369,2,3,366,368,4
371,Under base discuss expect,292.0,28,40546587,Yes,370,371,3,4,368,370,1
372,Appear base similar individual,283.0,89,84333555,No,371,372,2,2,369,371,1
373,After administration,231.0,80,36111335,No,372,373,5,1,370,372,1
374,Agreement drug beyond meet,167.0,87,49452967,Yes,373,374,9,4,371,373,1
375,Almost exactly write,314.0,19,28508723,No,374,375,2,4,372,374,1
376,His west,215.0,17,30326441,No,375,376,2,1,373,375,1
377,Center,250.0,48,44175013,Yes,376,377,8,5,374,376,1
378,Need service grow,84.0,37,39178858,No,377,378,2,2,375,377,4
379,Better reflect decide pressure,337.0,52,72962124,No,378,379,6,3,376,378,1
380,Front task thought,336.0,53,83940858,No,379,380,1,1,377,379,1
381,Painting serious,318.0,28,81852735,Yes,380,381,1,6,378,380,1
382,Hot machine,298.0,70,92783673,Yes,381,382,7,1,379,381,1
383,Food good middle,190.0,14,97396468,No,382,383,2,2,380,382,2
385,Scene,260.0,46,4246846,Yes,384,385,1,6,382,384,1
386,That management on,190.0,45,6653450,No,385,386,1,4,383,385,3
387,Movie see,216.0,68,10787020,No,386,387,3,2,384,386,3
388,Pm fill,145.0,78,93364034,No,387,388,1,2,385,387,1
389,Situation information,260.0,90,51718713,Yes,388,389,3,4,386,388,3
391,Similar design official similar,191.0,82,70464015,Yes,390,391,3,2,388,390,3
392,Say property that conference,192.0,1,1012104,No,391,392,1,5,389,391,3
393,Raise billion,294.0,89,56154878,Yes,392,393,1,2,390,392,1
394,Question majority you,160.0,83,64411265,No,393,394,2,5,391,393,1
395,Military least offer,209.0,92,24074447,Yes,394,395,4,5,392,394,1
396,Factor body agree,193.0,81,69099985,Yes,395,396,6,6,393,395,1
397,Discover science second,205.0,27,33472472,No,396,397,8,3,394,396,1
398,From everybody,259.0,48,78535405,No,397,398,2,5,395,397,1
399,Executive budget,207.0,74,32599995,No,398,399,1,1,396,398,1
401,Energy decision explain,237.0,3,72207597,No,400,401,5,3,398,400,7
402,Break,169.0,12,3974077,Yes,401,402,2,5,399,401,1
403,Glass last,179.0,1,99431265,No,402,403,5,6,400,402,3
404,Instead common,292.0,52,25385038,No,403,404,4,1,401,403,1
405,Politics society away,275.0,72,66864688,Yes,404,405,1,2,402,404,1
406,So sure,239.0,5,63253815,No,405,406,1,4,403,405,7
408,Much coach,270.0,92,46934097,Yes,407,408,8,4,405,407,1
409,Help reality,257.0,71,49835019,No,408,409,8,4,406,408,6
411,Four wish represent,253.0,96,81872749,No,410,411,3,2,408,410,1
412,Put truth candidate,274.0,76,61165812,Yes,411,412,8,6,409,411,1
413,Family as no,252.0,63,60350292,No,412,413,8,1,410,412,5
414,Soldier,310.0,86,64364535,Yes,413,414,3,4,411,413,1
415,Quite while our,232.0,69,38415664,No,414,415,3,2,412,414,1
416,Pick painting beyond,199.0,44,42198519,No,415,416,9,3,413,415,6
417,After our between police,207.0,74,52949829,Yes,416,417,2,5,414,416,1
418,Agent beyond,229.0,12,84650960,No,417,418,3,4,415,417,5
419,Once image former manager,241.0,25,10673570,No,418,419,2,4,416,418,1
420,Conference final,189.0,68,91120391,No,419,420,3,5,417,419,1
421,Protect boy vote,214.0,33,6691534,Yes,420,421,8,1,418,420,6
422,Remember at,181.0,17,63850401,No,421,422,2,2,419,421,1
423,Natural name ok,303.0,60,43575055,Yes,422,423,3,5,420,422,1
424,Response action,240.0,70,45784244,Yes,423,424,2,4,421,423,4
425,Son yard to treatment,261.0,82,65092285,No,424,425,1,6,422,424,1
426,Consider firm value,245.0,85,89368950,Yes,425,426,4,1,423,425,1
427,Price black shoulder,192.0,89,51977539,Yes,426,427,2,5,424,426,2
428,Use,133.0,21,14869213,Yes,427,428,1,1,425,427,1
429,Few old prevent,299.0,87,12135538,No,428,429,3,3,426,428,1
430,Mother,255.0,34,15107519,Yes,429,430,3,6,427,429,1
431,Learn everybody,195.0,81,37684063,Yes,430,431,2,2,428,430,1
432,Quite south,241.0,31,12487185,No,431,432,3,2,429,431,1
433,Over own where garden,201.0,88,59487532,Yes,432,433,4,2,430,432,1
435,Such admit those,249.0,50,44202782,Yes,434,435,1,3,432,434,1
436,Those little,224.0,4,33842829,No,435,436,1,1,433,435,3
437,Very,212.0,48,72742532,No,436,437,1,1,434,436,1
438,Better a,239.0,69,12928369,Yes,437,438,3,5,435,437,7
439,Personal support attack,214.0,92,45800459,Yes,438,439,6,4,436,438,1
441,Attention almost,208.0,42,66905983,No,440,441,1,6,116,440,1
442,Television away American physical,163.0,74,60772314,Yes,441,442,2,4,438,441,6
443,Social,217.0,45,37687187,No,442,443,2,1,439,442,3
444,Wide particularly,200.0,59,75979716,Yes,443,444,2,5,440,443,1
445,Ahead participant visit catch,228.0,37,53878181,Yes,444,445,1,1,441,444,1
447,Performance American,252.0,3,16889066,No,446,447,1,2,443,446,1
448,Make act reality,151.0,55,13313561,Yes,447,448,1,4,444,447,1
450,Size,328.0,59,78625812,No,449,450,3,1,446,449,1
451,How listen,194.0,70,96507095,No,450,451,2,6,447,450,3
452,Training begin network,199.0,91,30449714,Yes,451,452,2,5,448,451,7
453,Democrat data expect,254.0,75,65996868,No,452,453,3,6,449,452,3
454,Item serious woman,208.0,83,2921460,Yes,453,454,3,6,450,453,1
455,Republican race water,283.0,65,1583606,Yes,454,455,3,2,451,454,1
456,Would garden street,233.0,81,37543873,No,455,456,8,2,452,455,4
457,Remain Mr,225.0,96,45505797,Yes,456,457,1,4,453,456,1
459,Magazine imagine evening,187.0,70,22808843,Yes,458,459,2,2,455,458,1
460,Tough watch can,248.0,80,87391109,Yes,459,460,2,5,456,459,1
461,Their major concern,194.0,44,50583345,Yes,460,461,7,5,457,460,1
462,Blood order,273.0,27,92145652,No,461,462,3,3,458,461,1
463,Law matter,246.0,64,52496783,No,462,463,2,2,459,462,1
464,Either front perhaps,219.0,74,243804,No,463,464,3,2,460,463,6
