album_id,album,release_date,number_of_songs,label_id
227,Of.,2012-05-08,28,1
228,Development resource.,2014-07-27,2,5
229,Ahead.,2020-06-22,28,5
230,Center cause.,2006-11-19,1,4
231,Population order.,2002-10-01,1,5
232,Exactly.,2003-01-26,26,2
233,Food set.,2023-10-31,1,5
234,During up.,2000-01-26,1,4
235,Daughter.,2013-07-10,18,6
236,Mind pass.,2000-06-08,2,2
237,Improve growth.,2016-09-20,1,5
238,Newspaper run.,1998-04-27,1,4
239,Culture thus.,2015-08-19,1,5
240,Air.,2022-07-17,34,1
241,Rate card.,2002-05-23,1,6
242,Baby.,2010-07-11,27,3
243,Today among.,2022-05-26,1,5
244,Service.,2009-03-13,24,1
245,Why.,2011-11-19,34,2
246,Sort.,1997-08-11,34,2
247,Outside save.,2014-03-13,1,6
248,Tv.,2021-03-15,20,2
249,Development bar.,2007-08-03,1,5
250,Represent blood.,2012-12-18,1,5
251,Couple.,2013-02-17,25,6
252,Home charge.,2015-10-09,1,5
253,Population.,2020-12-09,24,4
254,Mean.,2001-03-31,26,4
255,Relate.,2007-10-12,25,2
256,Project fly.,1998-06-06,1,6
257,Officer arm.,2016-08-05,1,3
258,Listen.,2019-04-27,31,1
259,Drive.,2022-05-22,21,3
260,Along community.,2008-06-14,1,6
261,Beat but.,2015-10-17,1,2
262,Local quickly.,2007-05-29,1,5
263,Author draw.,2002-05-15,1,1
264,Save expect.,2001-11-29,1,2
265,Night.,2002-03-30,20,5
266,Move hot.,2012-12-18,1,2
267,Already own.,2005-01-05,1,4
268,Action sister.,2017-01-16,1,1
269,National.,2016-05-13,34,6
270,Course until.,2001-08-24,1,2
271,This room.,1995-11-15,1,4
272,Too general.,2011-06-04,1,1
273,Mission office.,2000-10-14,1,2
274,Team knowledge.,1995-08-27,1,3
275,Sit.,2003-11-08,27,5
276,Easy right.,2009-05-16,1,6
277,Defense receive.,1999-07-07,1,3
278,Resource science.,2020-03-27,2,1
279,Able.,2006-05-08,26,4
280,Democrat bit.,2023-05-27,1,3
281,Business who.,1999-09-30,1,5
282,College.,2004-02-05,26,6
283,Material.,2005-04-19,32,1
284,Certainly.,2002-05-18,31,3
285,Property.,1996-08-08,27,2
286,Get.,2004-02-13,27,3
287,Star.,2005-01-24,34,5
288,Behavior.,2004-04-30,28,3
289,Bring kind.,2013-01-09,1,5
290,City trouble.,2003-09-19,1,2
291,Assume.,2014-01-06,25,2
292,Attack receive.,2018-07-21,1,6
293,Support director.,2002-02-15,1,1
294,Able during.,1996-11-29,1,2
295,Range certainly.,1996-02-16,1,3
296,Foot.,2017-08-11,24,4
297,Blood.,2002-04-30,22,6
298,Two.,2011-08-21,31,2
299,Do.,1999-02-12,17,3
300,Final.,2005-05-09,31,2
301,Mention.,2003-05-05,27,1
302,Present natural.,2018-09-11,1,2
303,Manage.,2010-06-05,26,6
304,Ever leg.,2023-11-13,1,3
305,Little.,2014-03-17,25,2
306,However front.,2000-08-28,1,1
307,See city.,2023-01-07,1,2
308,Although time.,2006-01-03,1,6
309,Will.,2001-04-01,24,5
310,Exist.,2008-01-26,29,4
311,Behind.,2021-11-22,23,4
312,Same window.,2005-06-02,1,6
313,Matter help.,2018-03-12,1,4
314,North value.,2012-05-13,1,1
315,Already.,1995-09-14,26,3
316,Book.,2014-06-14,33,5
317,Social marriage.,1995-02-26,1,1
318,Guess.,2012-06-26,28,2
319,Become ball.,2012-02-08,1,3
320,Protect around.,2014-02-28,1,6
321,Stock.,1998-08-17,17,2
322,Of staff.,2008-04-13,1,4
323,Decision.,2005-04-26,24,5
324,Half clearly.,2009-08-26,1,4
325,Democratic.,2002-07-25,30,5
326,Man myself.,2018-11-06,1,1
327,Recent agree.,2012-07-02,1,1
328,Such attention.,2006-05-08,1,2
329,Win behavior.,2003-05-28,1,6
330,Add.,2003-10-02,24,3
331,National body.,2009-04-01,1,6
332,Sport early.,2015-03-16,1,4
333,Beyond.,2003-06-29,28,6
334,Box.,2005-06-20,28,2
335,There.,2008-01-18,26,6
336,Thank.,2013-09-14,25,2
337,Many.,2003-05-01,27,2
338,Short.,2023-12-17,23,1
339,Whose eight.,2007-06-17,1,4
340,Sing main.,2012-11-21,1,2
341,Dream.,2019-09-05,26,5
342,Local.,2013-07-22,22,6
343,Wrong expert.,2007-02-22,1,5
344,Benefit.,2020-04-15,26,3
345,Hope.,2021-07-17,20,5
346,Success.,2000-01-23,45,6
347,Official account.,2023-02-26,1,5
348,Agreement set.,1995-07-13,2,5
349,Drug story.,1996-10-14,1,5
350,Today.,2002-05-16,29,3
351,Let.,2023-07-07,22,6
352,Per of.,2012-10-07,1,5
353,Character.,2023-12-27,29,5
354,Top happy.,2016-06-09,1,5
355,Staff how.,2009-08-27,1,5
356,Father.,2019-02-08,22,5
357,Sound.,2017-11-23,37,3
358,Break.,2021-09-25,30,3
359,Too science.,2015-08-20,1,6
360,Sing.,1997-12-30,19,4
361,Strong this.,2024-06-01,1,3
362,Finish.,2018-02-16,19,3
363,Purpose billion.,2015-03-28,1,3
364,Can organization.,1994-10-15,1,3
365,Avoid position.,2005-03-28,1,5
366,Buy.,2006-10-14,34,4
367,By guess.,1997-08-24,1,6
368,Painting society.,2010-01-27,1,3
369,Enter certain.,2001-05-06,1,3
370,Itself write.,2024-09-21,1,6
371,Become.,2011-01-09,17,4
372,Everything.,2012-12-30,20,2
373,Campaign only.,2021-10-06,1,1
374,Main.,1996-10-15,22,4
375,Tend customer.,2019-07-22,1,4
376,Language prepare.,2010-12-17,1,1
377,Him.,2009-10-31,30,5
378,Over.,1996-04-20,27,2
379,The skill.,2019-10-27,1,3
380,Small.,1998-11-23,26,1
381,Know today.,2008-09-11,1,6
382,Political.,2006-03-09,27,1
383,Even beyond.,2002-11-25,1,2
384,Around something.,2004-04-09,2,4
385,Speak.,2002-06-06,30,6
386,Throw.,2001-06-11,24,4
387,Worker every.,2022-09-01,1,2
388,Material.,2009-03-19,32,2
389,Continue nearly.,2016-11-30,1,4
390,Price deep.,2011-03-02,1,4
391,Threat.,2006-07-21,26,2
392,Power.,1997-01-18,23,5
393,Heart number.,2017-05-04,1,2
394,Simple natural.,1998-10-18,1,5
395,Know that.,2016-06-09,1,5
396,Fish religious.,2008-06-06,1,6
397,Leave.,2005-01-31,34,3
398,Through ball.,2005-07-10,1,5
399,Race.,2012-02-27,29,1
400,Main next.,2015-07-16,1,3
401,Policy reflect.,2016-05-19,1,3
402,Feel affect.,2007-01-01,1,5
403,Expert he.,2004-06-28,1,6
404,Fund.,1996-12-04,19,1
405,Fast class.,2013-07-08,1,2
406,Key that.,2001-04-11,1,4
407,Very.,2021-12-20,24,5
408,Whether.,2002-04-24,23,4
409,Staff establish.,2009-12-10,1,4
410,Cost.,2006-04-08,31,5
411,Thank.,2013-12-25,25,2
412,Performance.,2021-03-15,28,6
413,Data meet.,2001-02-21,1,1
414,Create.,1999-08-05,25,4
415,Choose.,2018-03-08,28,2
416,Party structure.,2014-10-04,1,3
417,Believe window.,2016-11-29,1,5
418,Wonder food.,2020-08-17,1,4
419,Administration magazine.,2023-05-26,1,4
420,Begin whatever.,2013-11-30,1,5
421,Market.,2019-10-28,37,1
422,Blood standard.,2021-08-02,1,2
423,Line pattern.,2023-05-22,1,5
424,Development.,2004-06-08,31,4
425,Spend.,2023-04-28,26,6
426,Action song.,2010-01-28,1,1
427,Small.,2020-01-13,26,5
428,Senior.,2021-12-15,25,1
429,Record.,2021-12-18,28,3
430,Keep.,2018-08-08,29,6
431,Forward stock.,2006-09-07,1,2
432,Each.,2012-06-12,26,2
433,Soon.,2018-02-24,21,2
434,Prepare career.,2000-08-24,1,1
435,Of foot.,2006-09-23,1,3
436,Teach.,1996-09-21,26,1
437,Car list.,2010-03-02,1,1
438,Top although.,1999-03-24,2,5
439,Article.,2013-04-24,29,4
440,Far side.,2002-06-15,1,1
441,Section military.,2003-09-05,1,6
442,Sort.,2019-06-17,34,4
443,Rather.,2000-05-28,32,1
444,Rule.,2017-06-11,21,5
445,Chair.,2007-02-02,24,1
446,Effort.,2017-09-11,28,6
447,Eight bad.,2014-07-11,1,2
448,A.,1999-12-23,26,4
449,Always.,2013-08-30,28,2
450,Response attack.,1995-05-28,1,1
451,Born benefit.,2000-07-06,1,6
452,Range education.,2012-07-16,1,5
453,Poor.,2016-11-23,34,6
454,Thus.,2002-09-07,33,6
455,War.,2007-04-12,28,2
456,According another.,2017-11-27,1,2
457,Letter.,2022-01-15,17,4
458,Fear traditional.,2001-01-04,1,4
459,Anyone.,1996-12-26,35,2
460,Scientist expert.,1996-03-23,2,5
461,Him.,2017-10-10,30,5
462,Left instead.,2012-03-18,1,3
463,Particular.,2022-02-11,28,2
464,Wife together.,2005-02-04,1,2
465,Else.,2014-09-28,29,4
466,Not explain.,2004-04-26,1,6
467,Race.,2015-11-30,29,4
468,Each season.,2012-05-17,1,3
469,Agree cell.,2015-10-07,1,4
470,Always decision.,2004-06-30,1,4
471,Future simple.,2023-02-02,1,5
472,Else instead.,1995-06-09,1,5
473,Property.,2002-09-15,27,4
474,Collection.,2014-04-09,25,2
475,This require.,2022-01-12,1,4
476,Hear.,2020-01-07,32,3
477,Interesting upon.,1995-12-21,1,4
478,Agency.,2022-04-16,21,1
479,Step.,1999-04-25,27,4
480,Coach partner.,2003-09-21,1,1
481,Type.,2019-05-31,22,1
482,Half.,2022-05-17,21,4
483,Beautiful.,2022-11-25,27,6
484,Continue suddenly.,2023-07-03,1,2
485,Collection.,2006-05-31,25,6
486,Within growth.,2012-12-06,1,4
487,Important.,2009-10-01,30,2
488,Industry.,2021-09-28,28,6
489,Room week.,2002-12-03,1,4
490,White.,2023-06-17,28,5
491,Community mission.,2004-12-26,1,4
492,Finish far.,2008-06-21,1,3
493,Adult.,2015-11-15,25,2
494,Tough national.,2002-05-28,1,1
495,Between.,2022-07-11,30,3
496,Sell.,2015-02-12,22,1
497,Better.,2024-03-26,29,6
498,Land.,2016-05-17,32,4
499,Movie.,2000-05-20,37,1
500,Task.,2005-06-03,27,2
501,Once good.,2020-10-24,1,3
502,Only.,2000-10-10,29,6
503,Weight.,2023-03-17,20,2
504,Phone.,2008-01-06,23,4
505,Stage.,2006-05-31,24,2
506,Similar movement.,2013-09-23,1,6
507,Page.,2021-08-03,26,2
508,Doctor.,2021-05-14,24,5
509,Economy race.,1995-12-31,1,4
510,Condition.,2020-08-22,27,6
511,Create.,2023-08-02,25,4
512,Action picture.,2003-05-04,1,4
513,West.,2003-12-23,29,4
514,Range bill.,2003-02-13,1,1
515,Mean money.,2009-12-10,1,1
516,Threat.,1997-01-18,26,2
517,When participant.,2001-04-22,1,1
518,Race director.,2014-10-02,1,6
519,Ground responsibility.,1999-02-19,1,4
520,Bit popular.,2002-08-07,1,4
521,Situation.,2007-02-13,32,4
522,Piece.,2007-01-22,22,5
523,Probably.,2005-05-03,19,3
524,Art should.,2014-09-05,1,5
525,Market.,2006-11-22,37,4
526,Billion.,2004-07-15,24,2
527,Fall recognize.,2005-11-18,1,1
528,Together.,2012-12-23,24,1
529,Project long.,1995-05-31,1,1
530,Certain game.,2017-01-11,1,6
531,Increase.,2016-11-28,32,6
532,Six.,2010-11-15,22,1
533,Region.,2020-07-28,30,4
534,Scene report.,2006-07-09,1,6
535,Ground.,2000-02-02,26,1
536,Draw training.,2024-05-07,1,6
537,Others pick.,1995-11-28,1,5
538,Century.,2003-11-22,29,3
539,Leg.,2020-09-09,24,1
540,Night difficult.,2016-07-27,1,4
541,Hope.,1997-07-22,20,6
542,Effort recently.,2007-09-07,1,4
543,Far.,2009-03-25,21,2
544,Government.,2021-06-03,35,5
545,Class.,2005-08-08,23,4
546,Company sister.,2017-03-12,1,4
547,Improve.,2006-08-19,27,2
548,Into later.,2020-05-01,1,2
549,Member seem.,2013-01-17,1,4
550,Herself especially.,2008-11-26,1,3
551,Less trial.,2023-03-09,1,1
552,Give fall.,2024-02-07,1,2
553,Do.,2005-03-27,17,6
554,Improve music.,1998-11-29,1,4
555,Among.,2016-12-31,43,5
556,Late.,2020-11-20,33,4
557,Place technology.,2021-01-02,1,2
558,Prove the.,2000-10-22,1,3
559,Center.,2008-10-11,24,3
560,Remain admit.,2004-04-20,1,2
561,Remember.,2013-10-03,30,6
562,Class.,2004-06-15,23,3
563,Information.,1997-11-07,27,2
564,Station together.,2006-12-19,2,2
565,Mrs own.,2011-05-04,1,2
566,Successful society.,2015-09-17,1,5
567,Beat store.,2004-08-27,1,1
568,Woman.,2003-12-03,27,1
569,Car brother.,2014-08-17,1,4
570,Feeling since.,2012-08-21,1,4
571,View miss.,2002-12-29,1,2
572,Point.,2011-03-02,28,4
573,Respond line.,2010-05-21,1,2
574,Mouth.,2020-08-12,31,2
575,Main despite.,2001-06-02,1,3
576,Care.,2010-04-08,25,6
577,Paper available.,2022-04-12,1,3
578,Much.,1998-07-18,26,4
579,Hold.,2019-12-16,28,5
580,Kind change.,2000-08-04,1,6
581,Guess field.,2003-06-05,1,4
582,Mrs.,2015-03-02,25,6
583,Against.,1995-03-23,27,2
584,Almost.,2008-11-21,25,3
585,Test old.,2006-07-27,1,6
586,Page cold.,2024-02-26,1,2
587,Else place.,1999-12-05,1,2
588,Standard.,2001-11-23,24,1
589,Job.,2003-09-28,25,4
590,His.,2005-02-25,19,3
591,Me stay.,1999-01-17,1,2
592,Civil care.,2017-10-11,1,3
593,Huge.,2007-10-28,32,2
594,Party music.,2012-06-24,1,5
595,Nothing morning.,2014-05-09,1,3
596,Decide.,2012-01-10,29,1
597,Enough everybody.,2017-10-30,1,5
598,Subject clear.,2010-02-03,1,2
599,Apply.,2019-05-10,28,5
600,Million.,2014-08-31,36,5
601,Cell.,2021-01-28,30,1
602,Yourself call.,2012-01-09,1,6
603,Enough.,2021-07-30,22,2
604,Effect.,2003-10-09,24,1
605,Strong ask.,2019-07-01,1,1
606,Drug interesting.,2009-02-03,1,3
607,Military.,2016-12-21,24,1
608,Pay.,2006-08-17,26,3
609,Cost.,2019-02-05,31,6
610,Fact rise.,2009-03-15,1,3
611,Test.,2005-05-11,11,3
612,Think.,1999-09-16,28,6
613,Oil executive.,1997-01-26,1,4
614,After.,2009-12-07,41,1
615,Wait few.,2006-02-06,1,5
616,Win.,1999-12-13,30,1
617,Economy nearly.,1995-04-04,1,2
618,Author.,2013-08-21,32,2
619,Writer.,2012-09-25,25,5
620,Star.,1994-12-22,34,6
621,Administration serve.,2023-06-25,1,3
622,Television level.,2003-12-28,1,1
623,Key ask.,2013-03-23,1,5
624,Talk why.,1997-01-02,1,6
625,Sea.,2006-02-19,31,2
626,Play approach.,2006-10-09,1,6
627,Like amount.,1997-10-26,1,3
628,Memory.,2021-01-08,18,5
629,Over six.,1998-09-06,1,6
630,Talk.,2013-12-13,28,6
631,Four reason.,2006-09-06,1,3
632,Necessary.,2013-05-02,29,4
633,Foreign.,2012-11-08,22,5
634,Away rather.,1996-11-08,1,3
635,Such success.,2002-12-07,1,4
636,Rock almost.,2021-11-23,1,4
637,Watch nothing.,2024-04-05,1,6
638,Computer.,2016-09-29,22,4
639,Organization another.,2024-01-25,1,3
640,Amount explain.,1996-09-06,1,5
641,Perhaps feel.,2009-04-26,1,5
642,Tonight.,2010-03-16,25,2
643,Pretty.,2000-10-04,24,1
644,Performance.,2021-05-10,28,6
645,End college.,2012-05-08,1,1
646,Change than.,2007-07-03,1,4
647,Ever.,2005-11-08,37,5
648,Evening sell.,2016-09-14,1,2
649,Attention operation.,1998-12-18,1,6
650,There.,1997-06-10,26,6
651,Give.,2012-04-18,35,5
652,Eat far.,2000-03-04,1,6
653,Simply approach.,1998-08-16,1,1
654,Art.,1996-03-10,32,1
655,Perhaps.,2015-08-17,18,2
656,Involve.,2005-12-21,29,1
657,Unit.,1999-06-09,25,2
658,Cover make.,1998-04-05,1,6
659,Determine.,2024-10-02,23,4
660,High nature.,2008-10-14,1,1
661,Sea collection.,2014-07-16,1,4
662,Bill.,2018-04-12,34,4
663,Adult two.,2013-07-15,1,4
664,Film.,2017-10-27,23,4
665,Now audience.,2004-03-10,1,4
666,Prove.,2006-11-07,21,3
667,Strong attorney.,2008-11-10,1,5
668,Charge little.,2022-08-26,1,5
669,Something.,2002-12-08,19,6
670,World serious.,2002-04-18,1,3
671,Property.,2000-08-25,27,1
672,Southern.,2021-06-01,25,5
673,Young.,2015-08-16,31,3
674,High.,2007-04-19,24,6
675,Cut tend.,2013-10-17,1,1
676,Role.,2017-10-05,30,1
677,Anything century.,2010-05-09,1,1
678,Mrs treat.,2010-10-07,1,6
679,Base.,2013-03-28,27,3
680,Bar.,2022-11-13,30,3
681,Entire.,1997-07-18,20,6
682,Through.,2004-01-16,25,1
683,Put moment.,2023-09-24,1,6
684,Yourself ago.,2009-06-26,1,1
685,Require.,2009-06-01,28,5
686,Late.,1994-12-01,33,1
687,Computer.,2012-09-05,22,6
688,Chance whether.,2003-06-03,1,2
689,Operation chair.,2001-04-27,1,4
690,Statement reveal.,2005-11-28,1,4
691,Subject.,2016-10-04,30,3
692,Add account.,2006-01-21,1,1
693,Rich.,2012-03-23,23,3
694,Reach.,1998-10-31,15,1
695,Behind market.,2018-09-13,1,4
696,Risk mind.,1995-07-04,1,2
697,For during.,1998-11-26,1,4
698,Standard.,2011-12-09,24,1
699,Since.,2010-09-07,37,6
700,Present type.,2008-08-19,1,2
701,Any.,2008-10-07,25,2
702,Fund.,2002-03-02,19,3
703,Dog.,2021-07-08,34,3
704,Peace treatment.,2023-11-25,1,1
705,Tell.,2004-09-19,25,4
706,Together.,2017-09-28,24,2
707,Yeah.,2013-01-30,21,2
708,Real hot.,2011-10-19,1,3
709,Quickly social.,2012-12-25,1,2
710,Management.,2016-01-17,18,5
711,Civil maintain.,2007-12-13,1,6
712,During individual.,2006-09-02,1,6
713,Until.,1997-02-08,21,1
714,Physical.,1995-08-13,21,4
715,West.,2010-12-07,29,4
716,Most.,2020-07-05,29,3
717,Common father.,2020-12-02,1,4
718,Range bank.,2011-04-04,1,6
719,Truth.,2016-06-05,24,4
720,Arm.,2006-10-27,26,6
721,Stuff type.,2020-01-16,1,5
722,Sound.,2013-04-04,37,6
723,Pay.,2016-12-09,26,1
724,Smile.,2024-06-23,28,3
725,Street.,1998-06-02,28,4
726,Two.,1999-07-10,31,3
727,Either.,2016-01-20,31,1
728,Accept determine.,2000-11-06,1,4
729,Season wish.,2014-04-03,1,3
730,Federal.,2024-06-02,21,4
731,Wonder.,2011-11-19,23,6
732,Sound.,1995-03-16,37,4
733,Really main.,1996-12-28,1,4
734,Defense fund.,1998-12-29,1,6
735,Phone late.,2002-10-17,1,3
736,Above east.,2007-01-09,1,1
737,Century.,1997-10-19,29,4
738,This.,2014-10-17,26,1
739,Eight.,2007-12-29,20,4
740,Ball with.,2022-08-20,1,6
741,Determine everyone.,2001-03-29,1,3
742,Window.,2011-06-28,25,4
743,More history.,2021-10-17,1,1
744,Practice.,2012-12-29,25,2
745,Usually instead.,2023-09-30,1,6
746,Effect.,2017-04-20,24,3
747,Speech.,2005-03-29,24,3
748,You.,2002-06-27,29,1
749,Responsibility.,1998-07-09,34,6
750,Woman character.,2009-04-19,1,6
751,Next.,2000-10-05,21,4
752,Candidate officer.,2003-11-10,1,2
753,Congress leg.,2021-09-18,1,3
754,Heart point.,2023-12-23,1,3
755,Group.,1995-03-02,17,5
756,Establish fall.,2022-08-20,1,1
757,According.,2007-09-22,30,3
758,Himself however.,2004-02-11,1,1
